City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khovd,48.0056,91.6419,284.26,41,13,2.23,MN,1683682747
1,thompson,55.7435,-97.8558,290.24,59,75,4.63,CA,1683682376
2,yellowknife,62.456,-114.3525,287.44,47,20,5.66,CA,1683682748
3,edinburgh of the seven seas,-37.0676,-12.3116,286.56,62,91,9.37,SH,1683682553
4,kolonia,50.9333,6.95,287.07,92,75,2.57,DE,1683682749
5,waitangi,-43.9535,-176.5597,289.72,95,100,7.15,NZ,1683682557
6,port elizabeth,-33.918,25.5701,287.77,99,2,1.03,ZA,1683682597
7,iqaluit,63.7506,-68.5145,269.0,86,20,0.0,CA,1683682560
8,dauphin,51.1494,-100.0502,290.23,63,40,4.63,CA,1683682608
9,punta arenas,-53.15,-70.9167,272.21,93,20,2.06,CL,1683682652
10,chibougamau,49.9168,-74.3659,281.94,34,0,2.06,CA,1683682353
11,adamstown,-25.066,-130.1015,294.9,58,85,5.53,PN,1683682536
12,mangai,-4.05,19.5333,293.15,99,100,0.33,CD,1683682753
13,sept-iles,50.2001,-66.3821,278.15,46,40,3.6,CA,1683682681
14,blackmans bay,-43.0167,147.3167,286.22,71,58,4.85,AU,1683682558
15,vilyuchinsk,52.9306,158.4028,283.3,79,33,2.17,RU,1683682560
16,laguna,38.421,-121.4238,296.27,45,0,3.09,US,1683682681
17,oranjemund,-28.55,16.4333,289.44,60,19,1.04,NA,1683682755
18,west island,-12.1568,96.8225,301.14,89,75,8.23,CC,1683682538
19,bredasdorp,-34.5322,20.0403,286.64,89,98,1.55,ZA,1683682618
20,dudinka,69.4058,86.1778,255.41,94,49,1.66,RU,1683682608
21,georgetown,5.4112,100.3354,304.11,81,20,2.57,MY,1683682486
22,ancud,-41.8697,-73.8203,284.12,94,81,2.06,CL,1683682667
23,lebu,-37.6167,-73.65,284.93,84,100,6.51,CL,1683682758
24,port hueneme,34.1478,-119.1951,290.9,75,75,9.26,US,1683682758
25,kourou,5.1552,-52.6478,299.18,91,97,3.72,GF,1683682673
26,grytviken,-54.2811,-36.5092,274.41,96,100,0.48,GS,1683682588
27,puerto natales,-51.7236,-72.4875,275.61,88,23,1.72,CL,1683682375
28,hawaiian paradise park,19.5933,-154.9731,297.06,86,100,3.09,US,1683682567
29,klyuchi,52.2667,79.1667,285.96,35,93,4.37,RU,1683682591
30,camabatela,-8.1881,15.375,289.27,72,0,1.79,AO,1683682761
